Invoice_ID, Transaction_Date, Vendor                       , Amount , Description              , Payment_Method
INV-00220 , 11-Feb-2025     , COMCAST *9BB961              ,   31.6 , Utilities purchase       , Corporate Card
INV-00043 , 2025-07-28      , POS-LYFT-7C52FA              ,   27.79, Travel/Transport purchase, ACH
INV-00212 , 2025-03-16      , SLACK *FCCE96                ,   62.68, SaaS/Cloud purchase      , 
INV-00194 , 2025-05-12      , POS-OFFICE DEPOT-E9FF1C      ,   13.33, Office Supplies purchase , Wire
INV-00057 , 2025-03-10      , STAPLES_43B409               ,   17.37, Office Supplies purchase , Corporate Card
INV-00180 , 2025-12-16      , AT&T *2B840C                 ,  175.58, Utilities purchase       , Corporate Card
INV-00016 , 2025-06-11      , POS-SHELL-366EB1             ,   20.79, Travel/Transport purchase, Corporate Card
INV-00058 , 2025-05-25      , DELTA AIRLINES *9AD620       ,   24.51, Travel/Transport purchase, Wire
INV-00140 , 2025-02-20      , GITHUB *A021C0               ,   13.46, SaaS/Cloud purchase      , Wire
INV-00149 , 2025-06-15      , Dropbox #0149                ,   42.07, SaaS/Cloud purchase      , Corporate Card
INV-00095 , 2025-02-11      , TARGET *236C7B               ,   23.22, Office Supplies purchase , ACH
INV-00091 , 2025-11-10      , POS-WALMART-D0A444           ,   31.92, Office Supplies purchase , 
INV-00127 , 2025-10-09      , Walmart #0127                ,   15.74, Office Supplies purchase , Corporate Card
INV-00209 , 2025-01-11      , Shell #0209                  ,   41.88, Travel/Transport purchase, ACH
INV-00117 , 2025-04-01      , Airbnb #0117                 ,   29.3 , Travel/Transport purchase, 
INV-00156 , 2025-03-01      , POS-AMAZON MARKETPLACE-F85E06,   18.83, Office Supplies purchase , 
INV-00079 , 2025-12-23      , WALMART *4BB00F              ,   31.81, Office Supplies purchase , ACH
INV-00348 , 2025-08-09      , Aws #0348                    ,   12.0 , SaaS/Cloud purchase      , Wire
INV-00138 , 2025-11-02      , AT&T *CA6DFD                 ,   24.3 , Utilities purchase       , 
INV-00272 , 2025-07-05      , STAPLES *4F11D8              ,   11.78, Office Supplies purchase , ACH
INV-00146 , 2025-01-31      , Uber #0146                   ,   49.81, Travel/Transport purchase, 
INV-00243 , 2025-11-03      , AIRBNB_0E0630                ,   41.61, Travel/Transport purchase, ACH
INV-00284 , 2025-06-28      , AIRBNB_EE3368                ,   13.4 , Travel/Transport purchase, Corporate Card
INV-00034 , 2025-04-28      , AWS_114125                   ,   15.07, SaaS/Cloud purchase      , Wire
INV-00158 , 2025-09-13      , POS-TARGET-A01AC9            ,   40.77, Office Supplies purchase , Corporate Card
INV-00085 , 2025-04-26      , DELTA AIRLINES *CE7AE7       ,   17.72, Travel/Transport purchase, ACH
INV-00120 ,                 , At&T #0120                   ,   48.85, Utilities purchase       , Corporate Card
INV-00319 , 2025-02-07      , MICROSOFT AZURE *73B911      ,   36.99, SaaS/Cloud purchase      , Corporate Card
INV-00026 , 2025-10-04      , OFFICE DEPOT_F4188F          ,   32.2 , Office Supplies purchase , 
INV-00074 , 2025-08-11      , Github #0074                 ,   82.85, SaaS/Cloud purchase      , Corporate Card
INV-00133 , 2025-11-23      , POS-OFFICE DEPOT-DE5379      ,   15.02, Office Supplies purchase , Corporate Card
INV-00010 ,                 , Uber #0010                   ,   42.63, Travel/Transport purchase, Corporate Card
INV-00338 , 2025-08-26      , City Water #0338             ,   24.32, Utilities purchase       , 
INV-00141 , 2025-05-03      , MICROSOFT AZURE_2C7F0B       ,  868.5 , SaaS/Cloud purchase      , ACH
INV-00111 , 2025-11-07      , SHELL_F6B751                 ,    8.61, Travel/Transport purchase, ACH
INV-00040 , not-a-date      , POS-LYFT-23E2FC              ,   34.05, Travel/Transport purchase, ACH
INV-00023 , 2025-02-27      , POS-AMAZON MARKETPLACE-4B22D3,   31.31, Office Supplies purchase , ACH
INV-00181 , 2025-12-16      , POS-AT&T-3DA705              ,   45.0 , Utilities purchase       , 
INV-00094 , 2025-05-27      , Comcast #0094                ,  605.5 , Utilities purchase       , Wire
INV-00159 , 2025-10-09      , Delta Airlines #0159         ,   13.81, Travel/Transport purchase, Corporate Card
INV-00177 , 2025-02-20      , DROPBOX_C2A796               ,   30.22, SaaS/Cloud purchase      , Corporate Card
INV-00031 , 2025-07-24      , Delta Airlines #0031         ,   20.26, Travel/Transport purchase, Corporate Card
INV-00301 , 2025-09-21      , POS-AMAZON MARKETPLACE-65F202,   17.48, Office Supplies purchase , Wire
INV-00298 , 2025-01-23      , Office Depot #0298           ,   36.59, Office Supplies purchase , ACH
INV-00119 , 2025-05-23      , POS-UBER-E1B294              ,   62.98, Travel/Transport purchase, ACH
INV-00341 , 2025-05-17      , COMCAST *7318B9              ,   17.56, Utilities purchase       , ACH
INV-00056 , 2025-12-01      , TARGET_8768A8                ,   54.89, Office Supplies purchase , 
INV-00006 , 2025-04-21      , Office Depot #0006           ,   25.73, Office Supplies purchase , Corporate Card
INV-00046 , 2025-04-22      , DELTA AIRLINES_F7FD56        ,   18.77, Travel/Transport purchase, 
INV-00226 , 2025-02-04      , AIRBNB_175A81                ,   60.81, Travel/Transport purchase, Corporate Card
INV-00275 , 2025-07-12      , SHELL *277D1B                ,   15.83, Travel/Transport purchase, ACH
INV-00266 , 2025-07-18      , Amazon Marketplace #0266     ,   13.32, Office Supplies purchase , 
INV-00233 , 2025-12-03      , Github #0233                 ,   30.86, SaaS/Cloud purchase      , Corporate Card
INV-00078 , 2025-06-03      , Staples #0078                ,   24.67, Office Supplies purchase , Corporate Card
INV-00327 , 2025-06-26      , AT&T *20DA89                 ,   63.61, Utilities purchase       , ACH
INV-00199 , 2025-01-13      , Airbnb #0199                 ,   31.12, Travel/Transport purchase, 
